Country Code,Country Name,Gender,Date,Unemployement Rate
AUS,Australia,ALL,1/1/2017,5.71
AUS,Australia,ALL,2/1/2017,5.89
AUS,Australia,ALL,3/1/2017,5.89
AUS,Australia,ALL,4/1/2017,5.64
AUS,Australia,ALL,5/1/2017,5.54
AUS,Australia,ALL,6/1/2017,5.56
AUS,Australia,ALL,7/1/2017,5.57
AUS,Australia,ALL,8/1/2017,5.49
AUS,Australia,ALL,9/1/2017,5.42
AUS,Australia,ALL,10/1/2017,5.35
AUS,Australia,ALL,11/1/2017,5.42
AUS,Australia,ALL,12/1/2017,5.61
AUS,Australia,ALL,1/1/2018,5.54
AUS,Australia,ALL,2/1/2018,5.61
AUS,Australia,ALL,3/1/2018,5.56
AUS,Australia,ALL,4/1/2018,5.56
AUS,Australia,ALL,5/1/2018,5.39
AUS,Australia,ALL,6/1/2018,5.28
AUS,Australia,ALL,7/1/2018,5.26
AUS,Australia,ALL,8/1/2018,5.24
AUS,Australia,ALL,9/1/2018,4.99
AUS,Australia,ALL,10/1/2018,4.98
AUS,Australia,ALL,11/1/2018,5.11
AUS,Australia,ALL,12/1/2018,5
AUS,Australia,ALL,1/1/2019,5.08
AUS,Australia,ALL,2/1/2019,5.01
AUS,Australia,ALL,3/1/2019,5.14
AUS,Australia,ALL,4/1/2019,5.24
AUS,Australia,ALL,5/1/2019,5.2
AUS,Australia,ALL,6/1/2019,5.2
AUS,Australia,ALL,7/1/2019,5.23
AUS,Australia,ALL,8/1/2019,5.22
AUS,Australia,ALL,9/1/2019,5.16
AUS,Australia,ALL,10/1/2019,5.27
AUS,Australia,ALL,11/1/2019,5.16
AUS,Australia,ALL,12/1/2019,5.05
AUS,Australia,ALL,1/1/2020,5.31
AUS,Australia,ALL,2/1/2020,5.13
AUS,Australia,ALL,3/1/2020,5.27
AUS,Australia,ALL,4/1/2020,6.37
AUS,Australia,ALL,5/1/2020,7.02
AUS,Australia,ALL,6/1/2020,7.35
AUS,Australia,ALL,7/1/2020,7.45
AUS,Australia,ALL,8/1/2020,6.76
AUS,Australia,ALL,9/1/2020,6.85
AUS,Australia,ALL,10/1/2020,6.94
AUS,Australia,ALL,11/1/2020,6.83
AUS,Australia,ALL,12/1/2020,6.58
AUS,Australia,ALL,1/1/2021,6.4
AUS,Australia,ALL,2/1/2021,5.86
AUS,Australia,ALL,3/1/2021,5.69
AUS,Australia,ALL,4/1/2021,5.47
AUS,Australia,ALL,5/1/2021,5.07
AUS,Australia,ALL,6/1/2021,4.91
AUS,Australia,ALL,7/1/2021,4.63
AUS,Australia,ALL,8/1/2021,4.53
AUS,Australia,ALL,9/1/2021,4.63
AUT,Austria,ALL,1/1/2000,4.3
AUT,Austria,ALL,2/1/2000,4.3
AUT,Austria,ALL,3/1/2000,4.1
AUT,Austria,ALL,4/1/2000,3.8
AUT,Austria,ALL,5/1/2000,3.7
AUT,Austria,ALL,6/1/2000,3.6
AUT,Austria,ALL,7/1/2000,3.8
AUT,Austria,ALL,8/1/2000,3.8
AUT,Austria,ALL,9/1/2000,3.9
AUT,Austria,ALL,10/1/2000,3.8
AUT,Austria,ALL,11/1/2000,3.8
AUT,Austria,ALL,12/1/2000,3.7
AUT,Austria,ALL,1/1/2001,3.6
AUT,Austria,ALL,2/1/2001,3.6
AUT,Austria,ALL,3/1/2001,3.7
AUT,Austria,ALL,4/1/2001,3.9
AUT,Austria,ALL,5/1/2001,4
AUT,Austria,ALL,6/1/2001,4.1
AUT,Austria,ALL,7/1/2001,4.1
AUT,Austria,ALL,8/1/2001,4.1
AUT,Austria,ALL,9/1/2001,4.1
AUT,Austria,ALL,10/1/2001,4.2
AUT,Austria,ALL,11/1/2001,4.3
AUT,Austria,ALL,12/1/2001,4.4
AUT,Austria,ALL,1/1/2002,4.5
AUT,Austria,ALL,2/1/2002,4.5
AUT,Austria,ALL,3/1/2002,4.5
AUT,Austria,ALL,4/1/2002,4.3
AUT,Austria,ALL,5/1/2002,4.2
AUT,Austria,ALL,6/1/2002,4.2
AUT,Austria,ALL,7/1/2002,4.3
AUT,Austria,ALL,8/1/2002,4.4
AUT,Austria,ALL,9/1/2002,4.5
AUT,Austria,ALL,10/1/2002,4.4
AUT,Austria,ALL,11/1/2002,4.4
AUT,Austria,ALL,12/1/2002,4.5
AUT,Austria,ALL,1/1/2003,4.5
AUT,Austria,ALL,2/1/2003,4.5
AUT,Austria,ALL,3/1/2003,4.6
AUT,Austria,ALL,4/1/2003,4.7
AUT,Austria,ALL,5/1/2003,4.8
AUT,Austria,ALL,6/1/2003,4.9
AUT,Austria,ALL,7/1/2003,4.8
AUT,Austria,ALL,8/1/2003,4.8
AUT,Austria,ALL,9/1/2003,4.8
AUT,Austria,ALL,10/1/2003,4.9
AUT,Austria,ALL,11/1/2003,5
AUT,Austria,ALL,12/1/2003,5.2
AUT,Austria,ALL,1/1/2004,6.1
AUT,Austria,ALL,2/1/2004,6
AUT,Austria,ALL,3/1/2004,5.9
AUT,Austria,ALL,4/1/2004,6
AUT,Austria,ALL,5/1/2004,5.7
AUT,Austria,ALL,6/1/2004,5.6
AUT,Austria,ALL,7/1/2004,5.5
AUT,Austria,ALL,8/1/2004,5.7
AUT,Austria,ALL,9/1/2004,6.2
AUT,Austria,ALL,10/1/2004,6.1
AUT,Austria,ALL,11/1/2004,5.7
AUT,Austria,ALL,12/1/2004,6
AUT,Austria,ALL,1/1/2005,5.7
AUT,Austria,ALL,2/1/2005,5.7
AUT,Austria,ALL,3/1/2005,6
AUT,Austria,ALL,4/1/2005,5.9
AUT,Austria,ALL,5/1/2005,6.2
AUT,Austria,ALL,6/1/2005,6.2
AUT,Austria,ALL,7/1/2005,6.1
AUT,Austria,ALL,8/1/2005,6
AUT,Austria,ALL,9/1/2005,6.1
AUT,Austria,ALL,10/1/2005,6.2
AUT,Austria,ALL,11/1/2005,6.1
AUT,Austria,ALL,12/1/2005,6.1
AUT,Austria,ALL,1/1/2006,6.1
AUT,Austria,ALL,2/1/2006,6
AUT,Austria,ALL,3/1/2006,6.1
AUT,Austria,ALL,4/1/2006,5.7
AUT,Austria,ALL,5/1/2006,5.4
AUT,Austria,ALL,6/1/2006,6
AUT,Austria,ALL,7/1/2006,5.5
AUT,Austria,ALL,8/1/2006,5.3
AUT,Austria,ALL,9/1/2006,5.1
AUT,Austria,ALL,10/1/2006,5.3
AUT,Austria,ALL,11/1/2006,5.3
AUT,Austria,ALL,12/1/2006,5.4
AUT,Austria,ALL,1/1/2007,5.2
AUT,Austria,ALL,2/1/2007,5.5
AUT,Austria,ALL,3/1/2007,5.1
AUT,Austria,ALL,4/1/2007,5.6
AUT,Austria,ALL,5/1/2007,5.6
AUT,Austria,ALL,6/1/2007,5.2
AUT,Austria,ALL,7/1/2007,5.5
AUT,Austria,ALL,8/1/2007,5.4
AUT,Austria,ALL,9/1/2007,5
AUT,Austria,ALL,10/1/2007,5
AUT,Austria,ALL,11/1/2007,4.9
AUT,Austria,ALL,12/1/2007,4.5
AUT,Austria,ALL,1/1/2008,4.7
AUT,Austria,ALL,2/1/2008,4.6
AUT,Austria,ALL,3/1/2008,4.3
AUT,Austria,ALL,4/1/2008,4.2
AUT,Austria,ALL,5/1/2008,4.1
AUT,Austria,ALL,6/1/2008,3.9
AUT,Austria,ALL,7/1/2008,4.4
AUT,Austria,ALL,8/1/2008,4.4
AUT,Austria,ALL,9/1/2008,4.3
AUT,Austria,ALL,10/1/2008,4.4
AUT,Austria,ALL,11/1/2008,4.8
AUT,Austria,ALL,12/1/2008,5.1
AUT,Austria,ALL,1/1/2009,5
AUT,Austria,ALL,2/1/2009,5
AUT,Austria,ALL,3/1/2009,5.3
AUT,Austria,ALL,4/1/2009,5.7
AUT,Austria,ALL,5/1/2009,5.6
AUT,Austria,ALL,6/1/2009,5.9
AUT,Austria,ALL,7/1/2009,6.2
AUT,Austria,ALL,8/1/2009,5.8
AUT,Austria,ALL,9/1/2009,6.5
